nmot_w,mshfm_w,rl_w,rlsol_w,pvdkds_w,plsol_w,lamsoni_w,lamsbg_w,tikatm_w
4696.25,144.25,161.648,177.188,2179.53,2235.12,0.806398,0.796876,724.353
4706.5,144.083,159.398,177.352,2218.98,2234.34,0.794923,0.796876,726.873
4732.75,142.306,168.703,174.773,2200.78,2202.03,0.781739,0.796876,726.873
4739.75,144.695,168.656,177.422,2179.53,2232.19,0.793214,0.796876,726.873
4757.25,144.056,163.547,177.281,2209.88,2229.57,0.750001,0.796876,726.873
4785.0,144.472,160.594,177.469,2197.7,2229.49,0.750001,0.796876,729.236
4797.75,144.667,160.313,177.492,2191.64,2227.89,0.786134,0.796876,729.236
4826.25,146.861,159.938,177.68,2170.39,2226.8,0.81006,0.796876,729.236
4836.0,146.583,159.75,177.539,2167.38,2224.06,0.808107,0.796876,729.236
4851.75,145.056,160.523,181.781,2140.04,2272.89,0.801027,0.796876,731.502
4863.25,145.861,159.234,182.93,2140.04,2285.12,0.812501,0.796876,731.502
4886.5,147.25,158.625,183.023,2158.2,2284.57,0.807374,0.796876,731.502
4895.5,146.472,157.898,182.953,2133.95,2288.83,0.7959,0.796876,731.502
4913.0,147.083,158.461,183.023,2130.9,2287.89,0.80298,0.796876,733.67
4940.5,147.833,157.734,183.094,2173.4,2287.19,0.785157,0.796876,733.67
4945.0,147.833,157.477,183.094,2155.2,2285.04,0.800294,0.796876,733.67
4962.5,147.25,167.508,180.469,2152.15,2252.19,0.798341,0.796876,735.818
4967.25,146.861,166.898,183.516,2143.01,2286.13,0.769288,0.796876,735.818
4976.75,148.472,166.219,179.578,2130.86,2238.48,0.750001,0.796876,735.818
5005.0,145.833,161.438,185.016,2118.75,2302.15,0.750001,0.796876,735.818
5016.0,148.667,157.922,185.016,2112.7,2301.05,0.750001,0.796876,738.006
5039.75,148.861,155.742,185.414,2133.91,2305.82,0.786866,0.796876,738.006
5056.0,150.306,157.055,185.18,2091.41,2303.36,0.824952,0.796876,738.006
5046.5,149.472,155.93,184.852,2115.66,2299.88,0.842042,0.796876,738.006
5086.25,149.472,154.266,185.063,2118.75,2307.73,0.826661,0.796876,740.252
5100.75,149.945,155.555,184.852,2106.56,2305.51,0.812501,0.796876,740.252
5103.0,150.5,155.086,184.523,2091.41,2301.95,0.792238,0.796876,740.252
5122.25,150.195,155.438,184.477,2079.26,2301.56,0.773683,0.796876,740.252
5143.25,150.5,154.688,184.57,2094.41,2303.32,0.78003,0.796876,742.576
5153.25,152.167,154.688,184.102,2079.26,2297.93,0.784425,0.796876,742.576
5168.75,149.278,154.547,184.125,2079.26,2298.36,0.793214,0.796876,742.576
5174.0,151.333,153.328,183.914,2100.51,2301.05,0.794923,0.796876,742.576
5186.5,152.972,154.688,183.938,2070.12,2301.84,0.785157,0.796876,744.998
5223.25,151.306,154.008,183.797,2064.02,2300.35,0.783448,0.796876,744.998
5224.5,151.139,153.75,183.539,2051.91,2296.91,0.778077,0.796876,744.998
5239.75,152.167,152.766,183.539,2058.01,2297.73,0.78882,0.796876,747.537
5240.25,152.167,153.281,183.609,2042.81,2298.09,0.7959,0.796876,747.537
5264.25,151.111,152.32,183.539,2048.87,2303.32,0.807374,0.796876,747.537
5273.5,151.917,150.609,183.305,2082.27,2300.74,0.786134,0.796876,747.537
5279.75,152.389,150.938,183.281,2076.17,2300.31,0.789552,0.796876,750.135
5299.0,152.556,151.898,183.445,2048.83,2302.23,0.808107,0.796876,750.135
5312.75,151.111,151.242,183.328,2048.83,2301.8,0.786134,0.796876,750.135
5312.0,151.389,150.281,183.328,2036.72,2301.95,0.770997,0.796876,750.135
5349.5,152.361,150.328,183.188,2027.58,2300.63,0.779054,0.796876,752.85
5338.5,153.389,149.695,183.234,2042.77,2289.22,0.797609,0.796876,752.85
